Date observed	Date reported	Pathogen species 	Pathogen serotype	Pathogen NCBI taxonomy ID	Host species Latin name	Host species NCBI taxonomy ID	Host species common name	Animal domestication status	Latitude	Longitude	Geo text original 	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID	Data source	Original record ID
2022-05-17	2022-05-24	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793				Wild	50.280906	1.59083					OIE	322831
2022-05-10	2022-05-21	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Ichthyaetus ichthyaetus	126702	Great black-headed gull	Wild	52.7494	5.2019					OIE	322659
2022-05-07	2022-05-18	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793				Wild	54.333332999999996	13.0					OIE	322639
2022-05-06	2022-05-13	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Anas platyrhynchos	8839	mallard ducks	Domestic	46.554744	19.877308					OIE	322083
2022-05-06	2022-05-19	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	46.538610999999996	19.742222					OIE	322470
2022-05-05	2022-05-24	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	44.563413	2.4574759999999998					OIE	322830
2022-05-02	2022-05-09	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	52.11	5.63					OIE	321698
2022-04-24	2022-05-02	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	46.705527000000004	-0.48044899999999996					OIE	321145
2022-04-23	2022-04-27	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Anas platyrhynchos	8839	mallard ducks	Domestic	46.388589	19.865548					OIE	320571
2022-04-20	2022-05-06	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	51.13	-106.57					OIE	321569
2022-04-20	2022-05-11	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Branta leucopsis	184711	barnacle goose	Wild	60.298	22.304000000000002					OIE	321891
2022-04-16	2022-04-28	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	43.773	-111.71					OIE	321252
2022-04-16	2022-04-29	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793				Wild	40.3297	-3.7731					OIE	321294
2022-04-15	2022-04-26	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Haliaeetus leucocephalus	52644	bald eagle	Wild	45.56	-111.17					National authorities	320644
2022-04-13	2022-05-02	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	44.949241	0.704515					OIE	321053
2022-04-11	2022-05-02	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Aves	8782	birds	Domestic	44.550719	0.631074					OIE	320988
2022-04-10	2022-04-15	H5N1 subtype	{"Hsubtype":"H5","Nsubtype":"N1","pathogenicity":"HPAI"}	102793	Gallus gallus	9031	chickens	Domestic	46.016999999999996	-94.338					OIE	319745
